Frame,Stamp,Timestamp,Seconds,Time
172,1668438428781788037,37023020355,37.023020355,00:37
173,1668438429002634974,37243867292,37.243867292,00:37
174,1668438429213255141,37454487459,37.454487459,00:37
175,1668438429424799618,37666031936,37.666031936,00:37
176,1668438429625535285,37866767603,37.866767603,00:37
177,1668438429833817972,38075050290,38.07505029,00:38
178,1668438430050200749,38291433067,38.291433067,00:38
179,1668438430277859964,38519092282,38.519092282,00:38
180,1668438430504264197,38745496515,38.745496515,00:38
181,1668438430765489529,39006721847,39.006721847,00:39
182,1668438430958571109,39199803427,39.199803427,00:39
183,1668438431168034548,39409266866,39.409266866,00:39
184,1668438431378977955,39620210273,39.620210273,00:39
185,1668438431594517190,39835749508,39.835749508,00:39
186,1668438431811494322,40052726640,40.05272664,00:40
187,1668438432033913914,40275146232,40.275146232,00:40
188,1668438432246321111,40487553429,40.487553429,00:40
189,1668438432489380515,40730612833,40.730612833,00:40
190,1668438432714494609,40955726927,40.955726927,00:40
191,1668438432944192846,41185425164,41.185425164,00:41
192,1668438433184049112,41425281430,41.42528143,00:41
193,1668438433408137814,41649370132,41.649370132,00:41
194,1668438433626917352,41868149670,41.86814967,00:41
195,1668438433845444009,42086676327,42.086676327,00:42
196,1668438434085735430,42326967748,42.326967748,00:42
197,1668438434335785259,42577017577,42.577017577,00:42
198,1668438434552670488,42793902806,42.793902806,00:42
199,1668438434794626266,43035858584,43.035858584,00:43
200,1668438435023011954,43264244272,43.264244272,00:43
201,1668438435229641385,43470873703,43.470873703,00:43
202,1668438435478509988,43719742306,43.719742306,00:43
203,1668438435708240884,43949473202,43.949473202,00:43
204,1668438435937086911,44178319229,44.178319229,00:44
205,1668438436194974712,44436207030,44.43620703,00:44
206,1668438436400174310,44641406628,44.641406628,00:44
207,1668438436608400241,44849632559,44.849632559,00:44
208,1668438436838431852,45079664170,45.07966417,00:45
209,1668438437067923113,45309155431,45.309155431,00:45
210,1668438437299358875,45540591193,45.540591193,00:45
211,1668438437547766838,45788999156,45.788999156,00:45
212,1668438437841516425,46082748743,46.082748743,00:46
213,1668438438136554034,46377786352,46.377786352,00:46
214,1668438438354628224,46595860542,46.595860542,00:46
215,1668438438588171559,46829403877,46.829403877,00:46
216,1668438438802093381,47043325699,47.043325699,00:47
217,1668438439024066188,47265298506,47.265298506,00:47
218,1668438439251821366,47493053684,47.493053684,00:47
219,1668438439473426696,47714659014,47.714659014,00:47
220,1668438439695492262,47936724580,47.93672458,00:47
221,1668438439913287228,48154519546,48.154519546,00:48
222,1668438440129778503,48371010821,48.371010821,00:48
223,1668438440340359922,48581592240,48.58159224,00:48
224,1668438440546536489,48787768807,48.787768807,00:48
225,1668438440764126234,49005358552,49.005358552,00:49
226,1668438440972519852,49213752170,49.21375217,00:49
227,1668438441183973283,49425205601,49.425205601,00:49
228,1668438441400856955,49642089273,49.642089273,00:49
229,1668438441639087663,49880319981,49.880319981,00:49
230,1668438441856788220,50098020538,50.098020538,00:50
231,1668438442081140305,50322372623,50.322372623,00:50
232,1668438442282908766,50524141084,50.524141084,00:50
233,1668438442500325196,50741557514,50.741557514,00:50
234,1668438442712296670,50953528988,50.953528988,00:50
235,1668438442918374760,51159607078,51.159607078,00:51
236,1668438443142277545,51383509863,51.383509863,00:51
237,1668438443363437382,51604669700,51.6046697,00:51
238,1668438443576901529,51818133847,51.818133847,00:51
239,1668438443787075912,52028308230,52.02830823,00:52
240,1668438444000199809,52241432127,52.241432127,00:52
241,1668438444205388925,52446621243,52.446621243,00:52
242,1668438444416878385,52658110703,52.658110703,00:52
243,1668438444645971416,52887203734,52.887203734,00:52
244,1668438444847263249,53088495567,53.088495567,00:53
245,1668438445053463074,53294695392,53.294695392,00:53
246,1668438445271420006,53512652324,53.512652324,00:53
247,1668438445478184350,53719416668,53.719416668,00:53
248,1668438445694539792,53935772110,53.93577211,00:53
249,1668438445913230918,54154463236,54.154463236,00:54
250,1668438446136621025,54377853343,54.377853343,00:54
251,1668438446361205979,54602438297,54.602438297,00:54
252,1668438446581041195,54822273513,54.822273513,00:54
253,1668438446842847120,55084079438,55.084079438,00:55
254,1668438447032393536,55273625854,55.273625854,00:55
255,1668438447247161729,55488394047,55.488394047,00:55
256,1668438447457729298,55698961616,55.698961616,00:55
257,1668438447679513358,55920745676,55.920745676,00:55
258,1668438447895430333,56136662651,56.136662651,00:56
259,1668438448103109476,56344341794,56.344341794,00:56
260,1668438448321556844,56562789162,56.562789162,00:56
261,1668438448522925864,56764158182,56.764158182,00:56
262,1668438448739663807,56980896125,56.980896125,00:56
263,1668438448965792474,57207024792,57.207024792,00:57
264,1668438449164245681,57405477999,57.405477999,00:57
265,1668438449402620318,57643852636,57.643852636,00:57
266,1668438449615736952,57856969270,57.85696927,00:57
267,1668438449821056028,58062288346,58.062288346,00:58
268,1668438450039735910,58280968228,58.280968228,00:58
269,1668438450254085127,58495317445,58.495317445,00:58
270,1668438450484566529,58725798847,58.725798847,00:58
271,1668438450728423762,58969656080,58.96965608,00:58
272,1668438450981223563,59222455881,59.222455881,00:59
273,1668438451213575264,59454807582,59.454807582,00:59
274,1668438451461390883,59702623201,59.702623201,00:59
275,1668438451710423658,59951655976,59.951655976,00:59
276,1668438451937990238,60179222556,60.179222556,01:00
277,1668438452147050435,60388282753,60.388282753,01:00
278,1668438452365516521,60606748839,60.606748839,01:00
279,1668438452597012486,60838244804,60.838244804,01:00
280,1668438452805665769,61046898087,61.046898087,01:01
281,1668438453013297286,61254529604,61.254529604,01:01
282,1668438453247863851,61489096169,61.489096169,01:01
283,1668438453493318990,61734551308,61.734551308,01:01
284,1668438453732889812,61974122130,61.97412213,01:01
285,1668438453955122842,62196355160,62.19635516,01:02
286,1668438454174475764,62415708082,62.415708082,01:02
287,1668438454388936228,62630168546,62.630168546,01:02
288,1668438454620356332,62861588650,62.86158865,01:02
289,1668438454838304739,63079537057,63.079537057,01:03
290,1668438455058396382,63299628700,63.2996287,01:03
291,1668438455286502627,63527734945,63.527734945,01:03
292,1668438455553679820,63794912138,63.794912138,01:03
293,1668438455751064437,63992296755,63.992296755,01:03
294,1668438455984326761,64225559079,64.225559079,01:04
295,1668438456206906188,64448138506,64.448138506,01:04
296,1668438456421463974,64662696292,64.662696292,01:04
297,1668438456634538404,64875770722,64.875770722,01:04
298,1668438456857859266,65099091584,65.099091584,01:05
299,1668438457068772743,65310005061,65.310005061,01:05
300,1668438457341232272,65582464590,65.58246459,01:05
301,1668438457532320440,65773552758,65.773552758,01:05
302,1668438457760272928,66001505246,66.001505246,01:06
303,1668438457974259238,66215491556,66.215491556,01:06
304,1668438458212251749,66453484067,66.453484067,01:06
305,1668438458450080812,66691313130,66.69131313,01:06
306,1668438458672717538,66913949856,66.913949856,01:06
307,1668438458877005954,67118238272,67.118238272,01:07
308,1668438459103608940,67344841258,67.344841258,01:07
309,1668438459330027445,67571259763,67.571259763,01:07
310,1668438459557380261,67798612579,67.798612579,01:07
311,1668438459787796503,68029028821,68.029028821,01:08
312,1668438459993123604,68234355922,68.234355922,01:08
313,1668438460201730396,68442962714,68.442962714,01:08
314,1668438460406728678,68647960996,68.647960996,01:08
315,1668438460620426568,68861658886,68.861658886,01:08
316,1668438460829508371,69070740689,69.070740689,01:09
317,1668438461045064507,69286296825,69.286296825,01:09
318,1668438461294018993,69535251311,69.535251311,01:09
319,1668438461530868680,69772100998,69.772100998,01:09
320,1668438461766125479,70007357797,70.007357797,01:10
321,1668438461996886972,70238119290,70.23811929,01:10
322,1668438462260861061,70502093379,70.502093379,01:10
323,1668438462490221912,70731454230,70.73145423,01:10
324,1668438462712190694,70953423012,70.953423012,01:10
325,1668438462914304630,71155536948,71.155536948,01:11
326,1668438463133614298,71374846616,71.374846616,01:11
327,1668438463360350629,71601582947,71.601582947,01:11
328,1668438463590125592,71831357910,71.83135791,01:11
329,1668438463856305232,72097537550,72.09753755,01:12
330,1668438464090275642,72331507960,72.33150796,01:12
331,1668438464291386630,72532618948,72.532618948,01:12
332,1668438464493944600,72735176918,72.735176918,01:12
333,1668438464737293301,72978525619,72.978525619,01:12
334,1668438464964833921,73206066239,73.206066239,01:13
335,1668438465180205447,73421437765,73.421437765,01:13
336,1668438465394871974,73636104292,73.636104292,01:13
337,1668438465615096833,73856329151,73.856329151,01:13
338,1668438465846375730,74087608048,74.087608048,01:14
339,1668438466073293253,74314525571,74.314525571,01:14
340,1668438466276734678,74517966996,74.517966996,01:14
341,1668438466514662733,74755895051,74.755895051,01:14
342,1668438466729726101,74970958419,74.970958419,01:14
343,1668438466958536494,75199768812,75.199768812,01:15
344,1668438467173638783,75414871101,75.414871101,01:15
345,1668438467390266512,75631498830,75.63149883,01:15
346,1668438467606891647,75848123965,75.848123965,01:15
347,1668438467811953724,76053186042,76.053186042,01:16
348,1668438468023801442,76265033760,76.26503376,01:16
349,1668438468224432689,76465665007,76.465665007,01:16
350,1668438468456174439,76697406757,76.697406757,01:16
351,1668438468685114577,76926346895,76.926346895,01:16
352,1668438468906172328,77147404646,77.147404646,01:17
353,1668438469138098737,77379331055,77.379331055,01:17
354,1668438469365784364,77607016682,77.607016682,01:17
355,1668438469595545062,77836777380,77.83677738,01:17
356,1668438469816813807,78058046125,78.058046125,01:18
357,1668438470039686001,78280918319,78.280918319,01:18
358,1668438470259528226,78500760544,78.500760544,01:18
359,1668438470482330533,78723562851,78.723562851,01:18
360,1668438470724388183,78965620501,78.965620501,01:18
361,1668438470942406509,79183638827,79.183638827,01:19
362,1668438471156699935,79397932253,79.397932253,01:19
363,1668438471370631806,79611864124,79.611864124,01:19
364,1668438471586628136,79827860454,79.827860454,01:19
365,1668438471793967114,80035199432,80.035199432,01:20
366,1668438472020908669,80262140987,80.262140987,01:20
