Frame ID,FER Label,AU Multi,Valence,Arousal
255,Sadness,['left_upper_lip_raiser'],-0.1584547460079193,-0.2681622803211212
256,Sadness,[],-0.1256919503211975,-0.417157381772995
257,Neutral,['chin_raiser'],-0.02729247510433197,-0.46494272351264954
258,Neutral,[],-0.13112780451774597,-0.2762351930141449
259,Neutral,"['lip_pucker', 'left_nasolabial_deepener']",-0.08846700191497803,-0.42383673787117004
260,Neutral,['lip_pucker'],-0.0593293122947216,-0.39658501744270325
261,Neutral,[],-0.037412919104099274,-0.38578182458877563
262,Neutral,['lip_pucker'],-0.10016803443431854,-0.1263943761587143
263,Contempt,['lip_pucker'],-0.06384015083312988,-0.21669812500476837
264,Contempt,"['lip_pucker', 'lip_bite']",-0.09122790396213531,-0.14825613796710968
265,Contempt,"['lip_pucker', 'right_dimpler']",-0.07716070115566254,-0.19326455891132355
266,Contempt,"['lip_pucker', 'right_dimpler']",-0.05122864246368408,-0.16662494838237762
267,Contempt,"['lip_pucker', 'right_dimpler']",-0.04496683552861214,-0.2324206531047821
268,Contempt,"['lip_pucker', 'right_dimpler']",-0.05483497306704521,-0.24774092435836792
269,Contempt,"['lip_stretcher', 'right_dimpler']",-0.0003059767186641693,-0.29910334944725037
270,Neutral,"['lip_pucker', 'lip_stretcher', 'right_dimpler']",0.12386032938957214,-0.17937730252742767
271,Sadness,['lips_part'],0.02390013262629509,-0.2939285337924957
272,Neutral,['lower_lip_depressor'],0.10322026908397675,-0.1975705772638321
273,Sadness,[],0.07506388425827026,-0.3080017864704132
274,Disgust,[],0.22034458816051483,-0.13727886974811554
275,Sadness,[],-0.10239781439304352,-0.19499953091144562
276,Neutral,"['lip_pucker', 'lip_stretcher']",0.06556640565395355,-0.27218079566955566
277,Neutral,['lip_stretcher'],-0.028504393994808197,-0.27857181429862976
278,Neutral,[],0.03314034268260002,-0.3468014895915985
279,Neutral,[],0.0038424022495746613,-0.29396960139274597
280,Neutral,['lip_pucker'],-0.11996877193450928,-0.16036933660507202
281,Neutral,['lip_pucker'],-0.07729722559452057,-0.27001380920410156
282,Contempt,['lip_pucker'],0.009408950805664062,-0.3116525709629059
283,Contempt,['lip_pucker'],0.012355990707874298,-0.3685159981250763
284,Contempt,['lip_pucker'],0.015552084892988205,-0.42826464772224426
285,Contempt,['lip_pucker'],0.11648660898208618,-0.34041327238082886
286,Contempt,['lip_pucker'],0.028325241059064865,-0.3406326472759247
